Contig	VIR_GYG_1_count	VIR_GB_2_count	VIR_HGMT_3_count	VIR_R_WU_i_4_count	VIR_R_WU_o_5_count	VIR_RXT_6_count	VIR_C_WZ_7_count	VIR_QTX_8_count	VIR_QTX_m_9_count	VIR_GWX_i_10_count	VIR_G_WX_m_11_count	VIR_G_SX_i_12_count	VIR_G_SXKQ_A_13_count	VIR_G_SXKQ_mb_14_count	VIR_G_SXKQ_mc_15_count	VIR_G_SXKQ_o_16_count	VIR_C_YC_i_17_count	VIR_C_YC_o_18_count	VIR_R_QJ_i_19_count	VIR_C_JZ_i_20_count	VIR_C_JZ_o_21_count	VIR_C_TGZ_22_count	VIR_R_DTH_i_23_count	VIR_R_DTH_M_24_count	VIR_R_DTH_o_25_count	VIR_C_WH_i_26_count	VIR_C_WH_m_27_count	VIR_C_WH_o_28_count	VIR_C_HS_i_29_count	VIR_N_CG_30_count	VIR_C_JJ_i_31_count	VIR_C_PYH_M_32_count	VIR_C_JJ_o_33_count	VIR_C_AQ_i_34_count	VIR_C_AQ_o_35_count	VIR_C_TL_i_36_count	VIR_C_TL_o_37_count	VIR_C_WH_i_38_count	VIR_C_WH_o_39_count	VIR_C_MAS_40_count	VIR_C_NJ_i_41_count	VIR_C_NJ_o_42_count	VIR_C_YZ_43_count	VIR_C_ZJ_44_count	VIR_C_C_CZ_45_count	VIR_C_JY_46_count	VIR_C_SNT_47_count	VIR_C_NT_48_count	VIR_C_CS_49_count	VIR_C_TCG_50_count
NC_000898.1	4.0																		2.0																															
NC_000935.1					2.0																																													
NC_000936.1	2.0	2.0	7.0																							2.0																								
NC_000939.2	1453.0	33.0	78.0	99.0	71.0	37.0	67.0			2.0	8.0	62.0	23.0	2.0			31.0	37.0		19.0	51.0	18.0	4.0	41.0	30.0	84.0	25.0	49.0	30.0	29.0	85.0	13.0	18.0	11.0	28.0	35.0	52.0	42.0	14.0	4.0	7.0	1.0	20.0	15.0	2.0	10.0	15.0	19.0	5.0	21.0
NC_001330.1			4.0			1.0																																												
NC_001339.1	58.0	2.0	7.0		1.0		4.0				3.0	2.0					2.0	6.0				2.0		2.0	2.0											1.0														
NC_001367.1	53478.0	2155.0	7753.0	3782.0	2020.0	2029.0	4392.0	3024.0	44.0	2063.0	359.0	2118.0	1410.0	212.0	2.0	262.0	1774.0	4830.0	2152.0	1088.0	769.0	1482.0	126.0	454.0	603.0	672.0	472.0	695.0	1138.0	596.0	796.0	227.0	113.0	201.0	350.0	508.0	92.0	800.0	165.0	77.0	120.0	115.0	449.0	282.0	1093.0	108.0	430.0	288.0	153.0	318.0
NC_001401.2	2.0																	1.0																						1.0										
NC_001411.2	16.0								2.0									4.0																																
NC_001416.1	14.0		27.0	10.0	54.0	13.0	28.0		31.0	67.0	4.0	2.0			20.0	85.0	26.0		28.0	16.0	10.0	69.0				4.0		8.0				4.0					12.0	4.0	4.0	2.0			4.0	8.0				2.0		11.0
NC_001420.2											2.0																																							
NC_001422.1							27.0		2.0	7.0																																								
NC_001440.1	4.0		9.0																												1.0																			
NC_001469.1	380.0	14.0	28.0	15.0	354.0	5.0	96.0			19.0		25.0	5.0	7.0			41.0	32.0		4.0		8.0		18.0	9.0		5.0	2.0	3.0	2.0	3.0		8.0	2.0				9.0	2.0	1.0		1.0	1.0	3.0	3.0		17.0			
NC_001479.1																				2.0																														
NC_001493.2															1.0																													9.0						
NC_001499.1							1.0																																											
NC_001501.1										4.0	2.0																																		6.0					
NC_001504.1	79.0	7.0	10.0	13.0	10.0							2.0	2.0		2.0			12.0				2.0	8.0	10.0	38.0	50.0	45.0	78.0	111.0	93.0	65.0	10.0	7.0	43.0	60.0	44.0	30.0	107.0	64.0	7.0	10.0	21.0	87.0	22.0	267.0	28.0	17.0	70.0	33.0	94.0
NC_001539.1			4.0																																															
NC_001550.1																2.0																																		
NC_001554.1	346.0	4.0	32.0	2.0	15.0	3.0	12.0					25.0					39.0	27.0		5.0		7.0		1.0	1.0	1.0	4.0	3.0	11.0		2.0			4.0		1.0	2.0	4.0	2.0				1.0			3.0		6.0	2.0	2.0
NC_001556.1	604.0	68.0	121.0	103.0	20.0	80.0	227.0		16.0			98.0	59.0			10.0	11.0	326.0	29.0	10.0	47.0	39.0	4.0	40.0	107.0	90.0	104.0	102.0	145.0	119.0	163.0	47.0	2.0	13.0	74.0	16.0	24.0	56.0	24.0	12.0	20.0	23.0	25.0	17.0	34.0	142.0	6.0	41.0	28.0	28.0
NC_001557.1	227.0	1.0	6.0	3.0	2.0	3.0	6.0	22.0			11.0	8.0	8.0				2.0	3.0		8.0		18.0	3.0		12.0	63.0	2.0	11.0	25.0	12.0	27.0	2.0	3.0	2.0	7.0	5.0		4.0	11.0		12.0			8.0	25.0	10.0	4.0	4.0		3.0
NC_001604.1	1328.0	250.0	1671.0	549.0	1271.0	265.0	1579.0	640.0	1837.0	188.0	979.0	961.0	525.0	1718.0	4549.0	1825.0	3665.0	61.0	962.0	1116.0	279.0	1472.0	1319.0	673.0	153.0	1156.0	211.0	931.0	733.0		282.0	202.0	1492.0	326.0	439.0	256.0	260.0	1318.0	349.0	20.0	21.0	76.0	91.0	123.0	171.0	414.0	18.0	145.0	21.0	331.0
NC_001625.2																												8.0	20.0	15.0	15.0					2.0	1.0	34.0					6.0	9.0						2.0
NC_001642.1	3.0																																																	
NC_001664.4							3.0										22.0					1.0									1.0																			
NC_001672.1														1.0										1.0																										
NC_001697.1		2.0					2.0			2.0				2.0		28.0					18.0	4.0			2.0				4.0						1.0				1.0									2.0		
NC_001702.1																																	2.0																	
NC_001716.2																								1.0														2.0												
NC_001721.1	527.0	39.0	72.0	57.0	59.0	42.0	49.0			15.0		50.0	8.0				29.0	122.0	2.0	22.0		63.0	54.0	16.0	17.0	29.0	15.0	16.0	13.0	6.0	33.0		8.0	5.0			9.0	3.0	2.0	4.0		8.0	7.0	10.0	2.0		29.0	13.0	6.0	20.0
NC_001728.1	8.0																																																	
NC_001731.1																																																		1.0
NC_001741.1						2.0																																												
NC_001777.1	174.0	14.0	27.0	7.0	4.0	10.0	4.0					1.0	6.0			4.0	2.0	7.0			2.0	12.0		4.0				1.0	4.0				11.0						1.0											
NC_001782.1										2.0			1.0														1.0																							
NC_001801.1	3323.0	104.0	690.0	192.0	269.0	284.0	379.0	58.0		171.0	12.0	259.0	100.0	5.0		35.0	136.0	437.0		74.0	7.0	130.0	77.0	94.0	121.0	330.0	80.0	251.0	488.0	176.0	178.0	75.0	28.0	81.0	104.0	137.0	18.0	183.0	51.0	41.0	20.0	86.0	190.0	158.0	227.0	100.0	349.0	318.0	164.0	265.0
NC_001802.1																	2.0			2.0		894.0																												4.0
NC_001834.1	3.0		4.0		4.0																			2.0														2.0												
NC_001873.1	2.0	1.0		2.0	2.0			2.0																																										
