Contig	VIR_GYG_1_coverage	VIR_GB_2_coverage	VIR_HGMT_3_coverage	VIR_R_WU_i_4_coverage	VIR_R_WU_o_5_coverage	VIR_RXT_6_coverage	VIR_C_WZ_7_coverage	VIR_QTX_8_coverage	VIR_QTX_m_9_coverage	VIR_GWX_i_10_coverage	VIR_G_WX_m_11_coverage	VIR_G_SX_i_12_coverage	VIR_G_SXKQ_A_13_coverage	VIR_G_SXKQ_mb_14_coverage	VIR_G_SXKQ_mc_15_coverage	VIR_G_SXKQ_o_16_coverage	VIR_C_YC_i_17_coverage	VIR_C_YC_o_18_coverage	VIR_R_QJ_i_19_coverage	VIR_C_JZ_i_20_coverage	VIR_C_JZ_o_21_coverage	VIR_C_TGZ_22_coverage	VIR_R_DTH_i_23_coverage	VIR_R_DTH_M_24_coverage	VIR_R_DTH_o_25_coverage	VIR_C_WH_i_26_coverage	VIR_C_WH_m_27_coverage	VIR_C_WH_o_28_coverage	VIR_C_HS_i_29_coverage	VIR_N_CG_30_coverage	VIR_C_JJ_i_31_coverage	VIR_C_PYH_M_32_coverage	VIR_C_JJ_o_33_coverage	VIR_C_AQ_i_34_coverage	VIR_C_AQ_o_35_coverage	VIR_C_TL_i_36_coverage	VIR_C_TL_o_37_coverage	VIR_C_WH_i_38_coverage	VIR_C_WH_o_39_coverage	VIR_C_MAS_40_coverage	VIR_C_NJ_i_41_coverage	VIR_C_NJ_o_42_coverage	VIR_C_YZ_43_coverage	VIR_C_ZJ_44_coverage	VIR_C_C_CZ_45_coverage	VIR_C_JY_46_coverage	VIR_C_SNT_47_coverage	VIR_C_NT_48_coverage	VIR_C_CS_49_coverage	VIR_C_TCG_50_coverage
NC_000898.1	0.0010609818																		0.0004194579																															
NC_000935.1					0.006680539																																													
NC_000936.1	0.011367803	0.013568023	0.066740006																							0.013568023																								
NC_000939.2	37.03896	0.98346543	1.7266138	2.6416762	1.5812005	0.800906	1.6364666			0.06795017	0.07021517	1.803171	0.6289921	0.01993205			0.9676104	1.204983		0.5073613	1.3481314	0.41608155	0.05707814	1.0953567	0.9839185	2.4323895	0.805436	1.5098528	0.76715744	0.90373725	2.6976218	0.3610419	0.53046435	0.37281993	0.90917325	1.1327293	1.7331823	1.3030578	0.39660248	0.13590033	0.23782559	0.033975083	0.5390713	0.5089468	0.06795017	0.33975086	0.3614949	0.5644394	0.16987543	0.39365798
NC_001330.1			0.080170855			0.024642682																																												
NC_001339.1	0.9895594	0.016704949	0.10169137		0.03132178		0.08686573				0.048861977	0.06264356					0.017122572	0.14867404				0.018375443		0.052202966	0.016704949											0.03132178														
NC_001367.1	1005.2039	40.729633	125.058174	68.32682	30.570915	37.472557	81.68335	41.98624	0.5949961	30.060047	5.6014075	43.52541	28.34183	3.1792026	0.04691165	3.6076622	31.540892	103.04566	42.734325	19.617826	11.115559	27.219547	2.4234557	8.838624	12.909148	13.522908	10.248006	13.85645	23.510555	12.881313	16.482096	4.927287	1.992025	4.1191554	7.1465206	11.0086	1.8176701	17.296795	3.5660672	1.5532447	2.7322907	2.384832	9.649258	5.754652	21.601095	1.8700547	7.2947617	6.111806	3.2190773	5.977326
NC_001401.2	0.014960461																	0.011327207																						0.00983116										
NC_001411.2	0.6825499								0.022537025									0.13329041																																
NC_001416.1	0.043297183		0.06539936	0.02651437	0.15875635	0.018823966	0.062265474		0.06653334	0.1419529	0.007752258	0.006185312			0.023957774	0.26087585	0.07793493		0.06222424	0.04946188	0.016617872	0.12038679				0.008370789		0.016370459				0.0108861495					0.021153767	0.010473795	0.012370624	0.006185312			0.0045358953	0.024741247				0.0059791347		0.034019217
NC_001420.2											0.014703246																																							
NC_001422.1							0.7519495		0.055699963	0.15930189																																								
NC_001440.1	0.27075812		0.17599279																												0.06768953																			
NC_001469.1	8.383323	0.31482664	0.7236758	0.3977877	10.930866	0.06317805	2.820251			0.25313762		0.5805148	0.087428205	0.12167624			0.87726015	0.86875135		0.07955754		0.10082961		0.3956605	0.24037439		0.15954052	0.06381621	0.09402255	0.01786854	0.04637311		0.12465433	0.04296958				0.1376303	0.01531589	0.031908106		0.031908106	0.031908106	0.095724314	0.095724314		0.5424378			
NC_001479.1																				0.011359286																														
NC_001493.2															0.00034270558																													0.0027267444						
NC_001499.1							0.021886664																																											
NC_001501.1										0.07201152	0.03600576																																		0.10801728					
NC_001504.1	2.592358	0.20346929	0.20628223	0.4571027	0.26347867							0.07032349	0.06235349		0.07032349			0.42194092				0.07032349	0.13408345	0.33520862	0.99203	1.6422879	1.4948429	2.5696204	3.6068916	3.1640882	2.1228316	0.35161743	0.24613221	1.290436	1.894046	1.4514768	0.9020159	3.2958274	1.9824191	0.24613221	0.35021096	0.73839664	2.6026723	0.7735584	9.06376	0.8415377	0.32911393	2.3220816	0.94842947	2.715893
NC_001539.1			0.039827164																																															
NC_001550.1																0.014023607																																		
NC_001554.1	9.652638	0.07956449	0.6804858	0.020938024	0.29187605	0.09422111	0.23387772					0.48450586					0.6526382	0.6798576		0.09924623		0.14782244		0.031407036	0.031407036	0.031407036	0.09966499	0.056951422	0.14803183		0.029313233			0.027638191		0.031407036	0.06260469	0.03517588	0.06281407				0.031407036			0.09422111		0.18844222	0.015494137	0.06281407
NC_001556.1	11.183635	1.2752163	2.1482298	2.1298192	0.34681353	1.7291896	3.7617624		0.25900865			2.1428797	1.1065303			0.10826121	0.14854446	7.5472856	0.38426435	0.22124311	0.44752163	0.6163651	0.048937846	0.7627065	2.1962235	1.9260424	2.3680565	2.3450825	2.7302911	2.756255	3.4668765	1.0808812	0.047206923	0.2552321	1.5793864	0.31250983	0.5118804	1.1060582	0.5383163	0.2501967	0.4407553	0.5082612	0.4920535	0.4011015	0.74209285	3.3491738	0.0833989	0.9431943	0.6607396	0.5063729
NC_001557.1	14.078289	0.03874092	0.582728	0.20338982	0.10492332	0.36319613	0.48910412	1.3478612			1.0686038	0.52945924	0.968523				0.09846651	0.36319613		0.53914446		1.3478612	0.33575463		1.1186441	5.711057	0.24213076	1.1815981	2.8135593	0.94269574	2.2195318	0.24213076	0.36319613	0.21791768	0.76029056	0.37933818		0.20016143	1.0686038		1.4527845			0.79418886	3.0250201	0.75060534	0.30508474	0.44390637		0.30992737
NC_001604.1	3.9007187	0.79259837	5.6035004	1.6511506	3.770939	0.89037734	4.865388	2.0726895	4.0606956	0.40606454	2.4690888	2.8512907	1.516213	4.948669	10.162181	4.4042115	11.367504	0.19032477	2.2022686	3.4916995	0.6452663	4.7058115	3.9849012	2.1186619	0.39547288	3.7374866	0.68282545	3.2310388	2.4086688		0.9089566	0.5240253	3.9919124	0.89303154	1.3949971	0.7801287	0.7753712	4.554248	1.1772292	0.05874252	0.04927761	0.24303278	0.26809725	0.35135338	0.5258532	1.2717029	0.0551118	0.23444425	0.059293386	1.0239627
NC_001625.2																												0.28619128	0.5869306	0.40543765	0.47078463					0.07154782	0.01574052	1.1798235					0.18602432	0.3212497						0.07154782
NC_001642.1	0.016965127																																																	
NC_001664.4							0.0022211347										0.0052328426					0.000608616									0.00023842689																			
NC_001672.1														0.003590342										0.002782515																										
