Contig	VIR_GYG_1_tpm	VIR_C_WZ_7_tpm	VIR_C_YZ_43_tpm	VIR_R_DTH_o_25_tpm	VIR_C_JZ_o_21_tpm	VIR_QTX_m_9_tpm	VIR_C_SNT_47_tpm	VIR_GWX_i_10_tpm	VIR_C_TCG_50_tpm	VIR_C_YC_i_17_tpm	VIR_C_MAS_40_tpm	VIR_C_TL_o_37_tpm	VIR_C_WH_i_38_tpm	VIR_C_HS_i_29_tpm	VIR_C_PYH_M_32_tpm	VIR_C_JY_46_tpm	VIR_G_SX_i_12_tpm	VIR_C_WH_o_28_tpm	VIR_G_SXKQ_o_16_tpm	VIR_R_WU_o_5_tpm	VIR_C_AQ_i_34_tpm	VIR_C_WH_o_39_tpm	VIR_C_TL_i_36_tpm	VIR_R_QJ_i_19_tpm	VIR_HGMT_3_tpm	VIR_C_WH_i_26_tpm	VIR_G_SXKQ_A_13_tpm	VIR_C_WH_m_27_tpm	VIR_GB_2_tpm	VIR_C_AQ_o_35_tpm	VIR_C_ZJ_44_tpm	VIR_C_NJ_o_42_tpm	VIR_N_CG_30_tpm	VIR_C_JJ_i_31_tpm	VIR_RXT_6_tpm	VIR_G_WX_m_11_tpm	VIR_QTX_8_tpm	VIR_C_C_CZ_45_tpm	VIR_G_SXKQ_mb_14_tpm	VIR_C_TGZ_22_tpm	VIR_R_DTH_M_24_tpm	VIR_C_JJ_o_33_tpm	VIR_C_NJ_i_41_tpm	VIR_C_NT_48_tpm	VIR_C_YC_o_18_tpm	VIR_C_CS_49_tpm	VIR_R_DTH_i_23_tpm	VIR_C_JZ_i_20_tpm	VIR_R_WU_i_4_tpm	VIR_G_SXKQ_mc_15_tpm
NC_000898.1	0.88944113																							19.194998																										
NC_000935.1																				12.888005																														
NC_000936.1	13.218812																								142.8126	158.68			196.68765																					
NC_000939.2	11863.492	2975.7725	3448.6133	2707.1882	19073.365		2213.666	376.14954	1731.9982	3092.6763	522.7531	12660.922	3142.107	2020.5814	1014.34344	1880.3639	7327.8135	5596.285		3784.9624	1353.0695	3280.1558	4348.993		1965.8369	8232.961	4253.75	2730.8706	4009.0872	2574.7527	2251.073	348.5845	5583.4375	7234.0996	2759.3958	1990.4108		293.63586	527.6868	2344.3232	6370.35	2212.788	4088.6155	4204.726	3948.92	2552.3474	2355.7969	3896.6653	9963.555	
NC_001330.1																									73.12068										54.09282															
NC_001339.1	436.5771	163.78372		166.38452						183.94531							217.9207			49.14608			114.552956		162.64357				223.99971							688.1133				240.13814	286.48083				590.35565					
NC_001367.1	301447.94	134672.0	53450.418	37566.83	198551.72	8591.414	43810.625	267867.4	18106.959	122184.6	6947.3223	15464.642	41319.195	52916.066	12228.057	14020.252	172821.95	54799.76	63999.445	74343.81	17069.22	26689.512	43578.73	523576.7	134900.25	45471.18	180033.56	35595.35	180746.1	22219.578	29217.133	27675.531	79220.96	46770.156	104468.305	61664.816	192616.48	110787.15	38616.45	133254.95	48699.61	9590.382	48389.33	44001.438	355888.44	53920.184	51231.684	154048.94	262779.13	430.40195
NC_001401.2	15.408296										123.314514																																		100.7057					
NC_001411.2	185.69325					804.04645																																							606.82825					
NC_001416.1	10.405093	113.20196	62.783546		340.43033	798.0952		1147.0343	82.58324	236.11142	23.792364	265.9588	27.239737		28.41009		21.517109	83.16961	2737.6294	262.0403		85.30952		898.2083	61.94236	35.68681					109.284676				88.25246	90.59076				818.0226				40.288868				298.6969	91.61151	567.48584
NC_001420.2																																				393.92435														
NC_001422.1		982.99854				463.67764		1079.1779																																										
NC_001440.1	65.06807																								451.9144									169.56119																
